iter	Passed	Remaining
0	137	137836
1	138	69323
2	139	46466
3	140	34986
4	141	28094
5	141	23493
6	142	20200
7	143	17732
8	143	15829
9	144	14289
10	145	13039
11	145	11998
12	146	11114
13	147	10362
14	147	9705
15	148	9130
16	149	8629
17	149	8181
18	150	7776
19	151	7417
20	152	7089
21	152	6790
22	153	6520
23	154	6272
24	155	6045
25	155	5832
26	156	5637
27	157	5454
28	157	5286
29	158	5128
30	159	4981
31	160	4843
32	160	4713
33	161	4589
34	162	4473
35	162	4360
36	163	4255
37	164	4155
38	164	4060
39	165	3972
40	166	3887
41	166	3805
42	167	3726
43	168	3650
44	168	3578
45	169	3510
46	169	3444
47	170	3382
48	171	3322
49	171	3263
50	172	3207
51	173	3154
52	173	3102
53	174	3052
54	174	3004
55	175	2958
56	176	2913
57	176	2870
58	177	2829
59	177	2787
60	178	2749
61	179	2712
62	179	2675
63	180	2640
64	181	2607
65	182	2575
66	182	2544
67	183	2509
68	183	2479
69	184	2449
70	184	2420
71	185	2391
72	186	2364
73	186	2337
74	187	2311
75	188	2286
76	188	2261
77	189	2237
78	189	2214
79	190	2191
80	191	2168
81	191	2147
82	192	2127
83	193	2108
84	193	2085
85	194	2066
86	194	2045
87	195	2026
88	196	2008
89	196	1991
90	197	1974
91	198	1957
92	198	1940
93	199	1924
94	200	1907
95	200	1892
96	201	1876
97	202	1861
98	203	1847
99	203	1832
100	204	1818
101	204	1801
102	205	1787
103	205	1774
104	206	1761
105	207	1749
106	208	1736
107	208	1723
108	209	1710
109	209	1697
110	210	1686
111	211	1674
112	211	1663
113	212	1651
114	213	1640
115	213	1628
116	214	1617
117	214	1606
118	215	1595
119	216	1585
120	216	1575
121	217	1565
122	217	1553
123	218	1543
124	219	1533
125	219	1524
126	220	1515
127	220	1504
128	221	1495
129	222	1486
130	222	1477
131	223	1468
132	224	1460
133	224	1452
134	225	1443
135	226	1435
136	226	1427
137	227	1419
138	227	1411
139	228	1403
140	229	1396
141	229	1389
142	230	1381
143	231	1374
144	231	1367
145	232	1360
146	233	1354
147	234	1347
148	234	1340
149	235	1334
150	236	1327
151	236	1321
152	237	1314
153	238	1308
154	238	1302
155	239	1295
156	240	1289
157	240	1283
158	241	1277
159	242	1271
160	242	1266
161	243	1260
162	244	1254
163	245	1249
164	245	1243
165	246	1238
166	247	1232
167	247	1227
168	248	1222
169	249	1217
170	250	1212
171	250	1207
172	251	1202
173	252	1197
174	253	1193
175	254	1189
176	254	1184
177	255	1179
178	256	1175
179	257	1171
180	257	1165
181	258	1160
182	258	1156
183	259	1151
184	260	1148
185	261	1143
186	262	1139
187	262	1134
188	263	1129
189	263	1125
190	264	1120
191	265	1115
